149.57.29.27,is_vpn,is_bot,is_datacenter
195.154.166.20,is_vpn,is_datacenter
37.19.213.119,is_vpn,is_datacenter
37.120.207.206,is_proxy,is_vpn,is_bot,is_datacenter
98.159.37.117,is_datacenter
172.93.177.60,is_vpn
192.145.117.160,is_vpn
77.247.178.185,is_vpn,is_datacenter
192.145.116.247,is_vpn
128.90.200.21,is_datacenter
148.72.164.140,is_vpn,is_datacenter
136.144.17.230,is_proxy
37.120.207.206,is_proxy,is_vpn,is_bot,is_datacenter
45.134.140.149,is_vpn,is_datacenter
154.21.61.6,is_bot
45.132.159.25,is_datacenter
51.15.168.48,is_datacenter
